Категория: Все категории

Неделя,тест на ковид: (город Санкт-Петербург)
2020-05-10,12
2020-05-17,18
2020-05-24,13
2020-05-31,23
2020-06-07,25
2020-06-14,24
2020-06-21,13
2020-06-28,13
2020-07-05,9
2020-07-12,13
2020-07-19,16
2020-07-26,20
2020-08-02,18
2020-08-09,20
2020-08-16,20
2020-08-23,28
2020-08-30,24
2020-09-06,22
2020-09-13,24
2020-09-20,24
2020-09-27,21
2020-10-04,33
2020-10-11,31
2020-10-18,40
2020-10-25,55
2020-11-01,59
2020-11-08,56
2020-11-15,43
2020-11-22,48
2020-11-29,44
2020-12-06,57
2020-12-13,54
2020-12-20,60
2020-12-27,57
2021-01-03,52
2021-01-10,39
2021-01-17,28
2021-01-24,29
2021-01-31,34
2021-02-07,28
2021-02-14,15
2021-02-21,25
2021-02-28,21
2021-03-07,24
2021-03-14,20
2021-03-21,22
2021-03-28,25
2021-04-04,20
2021-04-11,22
2021-04-18,27
2021-04-25,23
2021-05-02,28
2021-05-09,33
2021-05-16,31
2021-05-23,29
2021-05-30,48
2021-06-06,65
2021-06-13,80
2021-06-20,99
2021-06-27,100
